АВСТРАЛИЯ	,	AU
АВСТРИЯ	,	AT
АЗЕРБАЙДЖАН	,	AZ
АЛБАНИЯ	,	AL
АЛЖИР	,	DZ
АНГИЛЬЯ	,	AI
АНГОЛА	,	AO
АНДОРРА	,	AD
АНТАРКТИКА	,	AQ
АНТИГУА.БАРБ	,	AG
АНТИЛЬСКИЕ О-ВА	,	AN
АОМЫНЬ (МАКАО)	,	MO
АРГЕНТИНА	,	AR
АРМЕНИЯ	,	AM
АРУБА	,	AW
АФГАНИСТАН	,	AF
БАГАМСКИЕ О-ВА	,	BS
БАНГЛАДЕШ	,	BD
БАРБАДОС	,	BB
БАХРЕЙН	,	BH
БЕЛИЗ	,	BZ
БЕЛАРУСЬ	,	BY
БЕЛЬГИЯ	,	BE
БЕНИН	,	BJ
БЕРМУДСКИЕ О-ВА	,	BM
БОЛГАРИЯ	,	BG
БОЛИВИЯ	,	BO
БОТСВАНА	,	BW
БРАЗИЛИЯ	,	BR
БРИТ. ТЕР. В ИНД. ОК	,	IO
БРУНЕЙ	,	BN
БУВЕ	,	BV
БУРКИНА-ФАСО	,	BF
БУРУНДИ	,	BI
БУТАН	,	BT
ВАНУАТУ	,	VU
ВАТИКАН	,	VA
ВЕЛИКОБРИТАНИЯ	,	GB
ВЕНГРИЯ	,	HU
ВЕНЕСУЭЛА	,	VE
ВИРГИН. О-ВА (США)	,	VI
ВИРГИН. О-ВА (БРИТ.)	,	VG
ВОСТ. САМОА. (США)	,	AS
ВОСТОЧНЫЙ ТИМОР	,	TP
ВЬЕТНАМ	,	VN
ГАБОН	,	GA
ГАИТИ	,	HT
ГАЙАНА	,	GY
ГАМБИЯ	,	GM
ГАНА	,	GH
ГВАДЕЛУПА	,	GP
ГВАТЕМАЛА	,	GT
ГВИАНА	,	GF
ГВИНЕЯ	,	GN
ГВИНЕЯ-БИСАУ	,	GW
ГЕРМАНИЯ	,	DE
ГИБРАЛТАР	,	GI
ГОНДУРАС	,	HN
ГРЕНАДА	,	GD
ГРЕНЛАНДИЯ	,	GL
ГРЕЦИЯ	,	GR
ГРУЗИЯ	,	GE
ГУАМ	,	GU
ДАНИЯ	,	DK
ДЖИБУТИ	,	DJ
ДЖОНСТОН АТОЛЛ	,	JT
ДОМИНИКА	,	DM
ДОМИНИКАНСК. РЕСП.	,	DO
ЕГИПЕТ	,	EG
ЗАИР	,	ZR
ЗАМБИЯ	,	ZM
ЗАПАДНАЯ САХАРА	,	EH
ЗАПАДНОЕ САМОА	,	WS
ЗИМБАБВЕ	,	ZW
ИЗРАИЛЬ	,	IL
ИНДИЯ	,	IN
ИНДОНЕЗИЯ	,	ID
ИОРДАНИЯ	,	JO
ИРАК	,	IQ
ИРАН	,	IR
ИРЛАНДИЯ	,	IE
ИСЛАНДИЯ	,	IS
ИСПАНИЯ	,	ES
ИТАЛИЯ	,	IT
ЙЕМЕН	,	YE
КАБО-ВЕРДЕ	,	CV
КАЗАХСТАН	,	KZ
КАЙМАН	,	KY
КАМБОДЖА	,	KH
КАМЕРУН	,	CM
КАНАДА	,	CA
КАТАР	,	QA
КЕНИЯ	,	KE
КИПР	,	CY
КИРИБАТИ	,	KI
КИТАЙ	,	CN
КОКОСОВЫЕ О-ВА	,	CC
КОЛУМБИЯ	,	CO
КОМОРСКИЕ О-ВА	,	KM
КОНГО	,	CG
КОРЕЯ (КНДР)	,	KP
КОРЕЯ РЕСП.	,	KR
КОСТА-РИКА	,	CR
КОТ-Д'ИВУАР	,	CI
КУБА	,	CU
КУВЕЙТ	,	KW
КЫРГЫЗСТАН	,	KG
ЛАОС	,	LA
ЛАТВИЯ	,	LV
ЛИТВА	,	LT
ЛЕСОТО	,	LS
ЛИБЕРИЯ	,	LR
ЛИВАН	,	LB
ЛИВИЯ	,	LY
ЛИХТЕНШТЕЙН	,	LI
ЛЮКСЕМБУРГ	,	LU
МАВРИКИЙ	,	MU
МАВРИТАНИЯ	,	MR
МАДАГАСКАР	,	MG
МАЛАВИ	,	MW
МАЛАЙЗИЯ	,	MY
МАЛИ	,	ML
МАЛ. ТИХООК. О-ВА	,	UM
МАЛЬДИВЫ	,	MV
МАЛЬТА	,	MT
МАРИАНСКИЕ О-ВА	,	MP
МАРОККО	,	MA
МАРТИНИКА	,	MQ
МАРШАЛЛОВЫ О-ВА	,	MH
МЕКСИКА	,	MX
МИКРОНЕЗИЯ	,	FM
МОЗАМБИК	,	MZ
МОЛДОВА	,	MD
МОНАКО	,	MC
МОНГОЛИЯ	,	MN
МОНТСЕРРАТ	,	MS
МЬЯНМА	,	MM
НАМИБИЯ	,	NA
НАУРУ	,	NR
НЕПАЛ	,	NP
НИГЕР	,	NE
НИГЕРИЯ	,	NG
НИДЕРЛАНДЫ	,	NL
НИКАРАГУА	,	NI
НИУЭ	,	NU
НОВАЯ ЗЕЛАНДИЯ	,	NZ
НОВ. КАЛЕДОНИЯ	,	NC
НОРВЕГИЯ	,	NO
НОРФОЛК	,	NF
ОБЪЕД. АРАБ. ЭМИРАТ	,	AE
ОМАН	,	OM
О-ВА КУКА	,	CK
О-ВА МИДУЭЙ	,	MI
О-В МЭН	,	IM
О-В РОЖДЕСТВА	,	CX
О-В СВЯТОЙ ЕЛЕНЫ	,	SH
О-В УЭЙК	,	WK
ПАКИСТАН	,	PK
ПАЛАУ	,	PW
ПАНАМА	,	PA
ПАПУА-НОВАЯ ГВИНЕЯ	,	PG
ПАРАГВАЙ	,	PY
ПЕРУ	,	PE
ПИТКЭРН	,	PN
ПОЛЬША	,	PL
ПОРТУГАЛИЯ	,	PT
ПУЭРТО-РИКО	,	PR
РАЗДЕЛЕННАЯ ЗОНА	,	NT
РЕЮНЬОН	,	RE
РОССИЯ	,	RU
РУАНДА	,	RW
РУМЫНИЯ	,	RO
САЛЬВАДОР	,	SV
САН-МАРИНО	,	SM
САН-ТОМЕ И ПРИНС.	,	ST
САУДОВСКАЯ АРАВИЯ	,	SA
СВАЗИЛЕНД	,	SZ
СЕЙШЕЛЬСКИЕ О-ВА	,	SC
С.-ПЬЕР И МИКЕЛОН	,	PM
СЕНЕГАЛ	,	SN
С. ВИНСЕНТ. ГРЕНАД.	,	VC
СЕНТ-КИТС И НЕВИС	,	KN
СЕНТ-ЛЮСИЯ	,	LC
СИНГАПУР	,	SG
СИРИЯ	,	SY
СЛОВАКИЯ	,	SK
СОЛОМОНОВЫ О-ВА	,	SB
СОМАЛИ	,	SO
СУДАН	,	SD
СУРИНАМ	,	SR
СЬЕРРА-ЛЕОНЕ	,	SL
США	,	US
СЯНГАН (ГОНКОНГ)	,	HK
ТАДЖИКИСТАН	,	TJ
ТАИЛАНД	,	TH
ТАЙВАНЬ	,	TW
ТАНЗАНИЯ	,	TZ
ТЕРКС И КАЙКОС	,	TC
ТОГО	,	TG
ТОКЕЛАУ (ЮНИОН)	,	TK
ТОНГА	,	TO
ТРИНИДАД И ТОБАГО	,	tt
ТУВАЛУ	,	TV
ТУНИС	,	TN
ТУРКМЕНИСТАН	,	TM
ТУРЦИЯ	,	tr
УГАНДА	,	UG
УЗБЕКИСТАН	,	UZ
УКРАИНА	,	UA
УОЛЛИС И ФУТУНА	,	WF
УРУГВАЙ	,	UY
